PROVIDER NPI,PROVIDER CCN,PROVIDER - ORG NAME,PROVIDER STATE,PROVIDER CITY,PROVIDER  ADDRESS,PROVIDER ZIP 5 CD,PROVIDER ZIP 4 CD,PROVIDER PHONE NUM,PROVIDER PHONE EXT,PROGRAM YEAR 2011,PROGRAM YEAR 2012,PROGRAM YEAR 2013,geo.provider,geo.updated_at,geo.data.types.0,geo.data.geometry.location.lat,geo.data.geometry.location.lng,general.hospital_type,general.hospital_owner,general.emergency_services,general.country_name,hcahps.survey_response_rate_percent,hcahps.number_of_completed_surveys,hcahps.percent_of_patients_who_reported_yes_they_would_definitely_recommend_the_hospital_
1841394418,"010092","DCH HEALTH CARE AUTHORITY","Alabama","Tuscaloosa","809 University Blvd E","35401","2029",2057597738,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1891770368,"010148","Evergreen Medical Center LLC","Alabama","Evergreen","101 Crestview Ave","36401","3333",2515782480,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1053382655,"010083","Foley Hospital Corporation","Alabama","Foley","1613 N McKenzie St","36535","2247",2519493400,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1710901178,"010012","FORT PAYNE HOSPITAL ORGANIZATION","Alabama","Fort Payne","200 Medical Center Dr","35968","",2568453150,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1225081516,"010040","GADSDEN REGIONAL MEDICAL CENTER LLC","Alabama","Gadsden","1007 Goodyear Ave","35903","1195",2564944000,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1992755292,"010062","GENEVA COUNTY HEALTHCARE AUTHORITY","Alabama","Geneva","1200 W Maple Ave","36340","1694",3346843655,5111,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1588779920,"010051","GREENE COUNTY HOSPITAL & NURSING HOME","Alabama","EUTAW","509 WILSON AVE","35462","1064",2053723388,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1780655332,"010150","Greenville Hospital Corporation","Alabama","Greenville","29 L V Stabler Dr","36037","3850",3343822671,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1447303227,"010100","Gulf Health Hospitals, Inc.","Alabama","Fairhope","750 Morphy Ave","36532","1812",2519901505,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1225068935,"010095","Hale County Hospital","Alabama","Greensboro","508 Green St","36744","2316",3346243024,247,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1982662557,"010079","Health Care Authority of Athens and Limestone County","Alabama","Athens","700 W Market St","35611","2457",2562339292,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1891801718,"010138","Hill Hospital of York","Alabama","York","751 Derby Dr","36925","2121",2053925263,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1851323836,"010045","HOSPICE OF FAYETTE MEDICAL CENTER","Alabama","Fayette","1653 Temple Ave N","35555","",2059325966,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1164403861,"010001","Houston County Healthcare Authority","Alabama","Dothan","1108 Ross Clark Cir","36301","3022",3347938111,8701,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1598783904,"010052","IVY CREEK OF TALLAPOOSA LLC","Alabama","Dadeville","201 Mariarden Rd","36853","",2568257821,202,"FALSE","FALSE","TRUE",,,,,,,,,,,,
1477520526,"010102","J. Paul Jones Hospital","Alabama","Camden","317 McWilliams Ave","36726","1610",3346824131,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1659473916,"010061","Jackson County Healthcare Authority","Alabama","Scottsboro","380 Woods Cove Rd","35768","",2562594444,3805,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1043262488,"010024","Jackson Hospital and Clinic, Inc.","Alabama","Montgomery","1725 Pine St","36106","1109",3342938000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1952427874,"010128","JACKSON MEDICAL CENTER, LLC","Alabama","Jackson","220 Hospital Dr","36545","2459",2512469021,1105,"FALSE","FALSE","TRUE",,,,,,,,,,,,
1467469502,"010137","Jefferson County Commission","Alabama","Birmingham","Cooper Green Mercy Hospital, 1515 6th Avenue South","35233","1601",2059303600,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1275600967,"010125","Lakeland Community Hospital LLC","Alabama","Haleyville","42024 Highway 195","35565","7054",2054865213,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1932160082,"010044","Marion Regional Medical Center, Inc.","Alabama","Hamilton","1256 Military St S","35570","5003",6623773978,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1508934217,"010010","Marshall Medical Center North","Alabama","Guntersville","8000 Al Highway 69","35976","7140",2565708000,"","TRUE","FALSE","FALSE",,,,,,,,,,,,
1306914882,"010005","Marshall Medical Center South","Alabama","Boaz","2505 US HWY 431 N","35957","0758",2565938310,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1013937705,"010007","Mizell Memorial Hospital, Inc.","Alabama","Opp","702 N Main Street, P O Box 1010","36467","1010",3344933541,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1558364802,"010113","Mobile Infirmary Association","Alabama","Mobile","3 Mobile Infirmary Cir","36607","3520",2514354700,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1750480406,"010008","Professional Resources Management of Crenshaw LLC","Alabama","Luverne","101 Hospital Cir","36049","7329",3343860343,714,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1750480406,"010008","Professional Resources Management of Crenshaw LLC","Alabama","Luverne","101 Hospital Cir","36049","7329",3343860353,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1992812382,"010110","Professional Resources Management, Inc.","Alabama","Union Springs","102 Conecuh Ave W","36089","1303",3343860343,714,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1720039712,"010049","QHG of Enterprise Inc","Alabama","Enterprise","400 N Edwards St","36330","2510",3343470584,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1265483267,"010146","QHG of Jacksonville Inc","Alabama","Jacksonville","1701 Pelham Rd S","36265","3353",2564354970,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1477874337,"010006","RCHP-Florence, LLC","Alabama","Florence","205 Marengo St","35630","6033",2567689191,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1699096552,"010157","RCHP-Florence, LLC","Alabama","Muscle Shoals","201 W. Avalon Av.","35661","",2563861600,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1730134123,"010046","Riverview Regional Medical Center LLC","Alabama","Gadsden","600 S 3rd St","35901","5304",2565435200,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1023050101,"010168","Russell County Community Hospital LLC","Alabama","Phenix City","4401 River Chase Dr","36867","7483",3347323000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1811913460,"010065","Russell Hospital","Alabama","Alexander City","3316 Highway 280","35010","3369",2563297109,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1316015241,"010158","Russellville Hospital LLC","Alabama","Russellville","15155 Highway 43","35653","1975",2563321611,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1215955729,"010069","Southeast Alabama Regional Healthcare Authority","Alabama","Eufaula","820 W Washington St","36027","1855",3346887000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1003814971,"010144","Springhill Hospitals, Inc","Alabama","Mobile","3719 Dauphin St","36608","1753",2513449630,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1447353941,"010050","St. Vincent's Blount","Alabama","Oneonta","150 Gilbreath Dr","35121","2827",2058383343,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1841308020,"010011","St. Vincent's East","Alabama","Birmingham","50 Medical Park East Drive","35235","3401",2058383343,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1841298999,"010056","St. Vincent's Hospital","Alabama","Birmingham","810 St Vincent's Dr","35205","1601",2058383343,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1992809305,"010130","St. Vincent's St. Clair, LLC","Alabama","Pell City","2805 Dr John Haynes Dr","35125","1448",2058383343,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1972527265,"010164","Sylacauga Health Care Authority Inc","Alabama","Sylacauga","315 W Hickory St","35150","2913",2564014000,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1255376828,"010058","THE BIBB COUNTY HEALTHCARE AUTHORITY","Alabama","Centreville","208 Pierson Ave","35042","2918",2059264881,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1154386431,"010029","The East Alabama Healthcare Authority","Alabama","Opelika","2000 Pepperell Pkwy","36801","5452",3345281275,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1104917780,"010149","The Health Care Authority for Baptist Health, an affiliate of UABHS","Alabama","Montgomery","2105 E South Blvd","36116","2409",3342862987,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1700977105,"010023","The Health Care Authority for Baptist Health, an affiliate of UABHS","Alabama","Montgomery","2105 E South Blvd","36116","2409",3342862987,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1942391230,"010108","The Health Care Authority for Baptist Health, an affiliate of UABHS","Alabama","Montgomery","2105 E South Blvd","36116","2409",3342862987,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1447221056,"010039","THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE","Alabama","Huntsville","101 Sivley Rd SW","35801","4421",2562651000,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1306885728,"010032","THE HEALTH CARE AUTHORITY OF THE TOWN OF WEDOWEE","Alabama","Wedowee","209 Main St S","36278","5139",2563572111,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1154435824,"010033","The University of Alabama at Birmingham","Alabama","Birmingham","619 19th Street South, JT 356","35249","6805",2059346249,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1588690085,"010112","TOMBIGBEE HEALTHCARE AUTHORITY","Alabama","Demopolis","105 US Highway 80 E","36732","3605",3342894000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1770814626,"010126","Troy Hospital Health Care","Alabama","Troy","1330 Highway 231 S","36081","3058",3346705440,"","TRUE","FALSE","FALSE",,,,,,,,,,,,
1235214768,"010066","UNITED FLORALA INC.","Alabama","Florala","24273 FIFITH AVE","36442","0189",3348583287,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1063468072,"010087","UNIVERSITY OF SOUTH ALABAMA","Alabama","Mobile","2451 Fillingim St","36617","2238",2514717110,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1871655993,"010118","VAUGHAN REGIONAL MEDICAL CENTER LLC","Alabama","Selma","1015 Medical Center Pkwy","36701","6748",3344184100,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1487699203,"011300","Washington County Hospital Association, Inc","Alabama","Chatom","14600 St Stephens Ave","36518","",2518472223,281,"TRUE","FALSE","FALSE",,,,,,,,,,,,
1093924458,"020026","ALASKA NATIVE TRIBAL HEALTH CONSORTIUM","Alaska","Anchorage","4315 Diplomacy Dr","99508","5926",9077291941,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1952348047,"020017","Galen Hospital Alaska, Inc.","Alaska","Anchorage","2801 Debarr Rd","99508","2932",9072761131,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1417975061,"020006","Mat-Su Valley Medical Center LLC","Alaska","Palmer","2500 S Woodworth Loop","99645","8984",9078616000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1053363119,"020001","PROVIDENCE HEALTH & SERVICES - WASHINGTON","Alaska","Anchorage","3200 Providence Dr","99508","4661",9075656522,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1669639639,"030126","Apache Junction Hospital, LLC","Arizona","Mesa","515 N Mesa Drive","85201","5914",4808983333,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1194758284,"030088","Banner Baywood Medical Center","Arizona","Mesa","6644 E Baywood Ave","85206","1747",4803212000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1952560914,"030061","Banner Boswell Medical Center","Arizona","Sun City","10601 W Santa Fe Dr","85351","3036",6239777211,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1588823553,"030093","Banner Del E Webb Medical Center","Arizona","Sun City West","14502 W Meeker Blvd","85375","5282",6232144000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1720011810,"030065","Banner Desert Medical Center","Arizona","Mesa","1400 S Dobson Rd","85202","4707",4804123000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1275566200,"030115","Banner Estrella Medical Center","Arizona","Phoenix","9201 W Thomas Rd","85037","3332",6233274000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1699884858,"030122","Banner Gateway Medical Center","Arizona","Gilbert","1900 N Higley Rd","85234","1604",4804612745,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1841224870,"030002","Banner Good Samaritan Medical Center","Arizona","Phoenix","1111 E McDowell Rd","85006","2612",6028392000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1215961248,"030105","Banner Heart Hospital","Arizona","Mesa","6750 E Baywood Ave","85206","1749",4808545000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1124341672,"030130","Banner Ironwood Medical Center","Arizona","San Tan Valley","37000 N Gantzel Rd, Banner Ironwood Medical Center","85140","7303",4803947004,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1154355188,"030089","Banner Thunderbird Medical Center","Arizona","Glendale","5555 W Thunderbird Rd","85306","4622",6028655555,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1518968767,"031312","Bisbee Hospital Association","Arizona","Bisbee","101 Cole Ave","85603","1327",5204326450,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1467537506,"030010","Carondelet Health Network","Arizona","Tucson","1601 W St. Mary's Road","85745","2623",5208723000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1790860856,"030011","Carondelet Health Network","Arizona","Tucson","350 North Wilmot Road","85711","",5208733000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1770563017,"030100","Carondelet Heart & Vascular Institute","Arizona","Tucson","4888 N Stone Ave","85704","5749",5206962302,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1437107208,"030016","Casa Grande Community Hospital","Arizona","Casa Grande","1800 E Florence Blvd","85222","5303",5203816921,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1841282852,"031300","COMMUNITY HOSPITAL ASSOCIATION","Arizona","Wickenburg","520 Rose Ln","85390","1447",9286845421,3010,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1427335140,"030113","DHHS IHS PHOENIX AREA","Arizona","Whiteriver","200 West Hospital Drive","85941","0860",9283384911,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1487652426,"030074","DHHS PHS IHS TUCSON AREA IHS TUCSON SELLS INDIAN HOSPITAL","Arizona","SELLS","HIGHWAY 86 AND TOPAWA ROAD","85634","",5203837251,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1508800129,"030084","DHHS PHS NAIHS CHINLE COMPREHENSIVE HEALTH CARE FACILITY","Arizona","Chinle","Off Hwy 191 Hospital Road","86503","",9286747001,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1780635078,"030023","FLAGSTAFF MEDICAL CENTER","Arizona","Flagstaff","1200 N Beaver St","86001","3118",9287732006,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1932249653,"030120","Gilbert Hospital LLC","Arizona","Gilbert","5656 S Power Rd","85295","8487",6024603143,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1780761866,"030069","Havasu Regional Medical Center LLC","Arizona","Lake Havasu City","101 Civic Center Ln","86403","5607",9288558185,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1750454344,"031313","Holy Cross Hospital Inc","Arizona","Nogales","1171 W Target Range Road","85621","2465",5202853000,3000,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1093791170,"030110","HOSPITAL DEVELOPMENT OF WEST PHOENIX INC","Arizona","Goodyear","13677 W McDowell Rd","85338","2618",6238821505,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1629028295,"030067","La Paz Regional Hospital,Inc","Arizona","Parker","1200 W Mohave Rd","85344","6349",9286697400,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1073576740,"030022","Maricopa County Special Health Care District","Arizona","Phoenix","2601 E Roosevelt St","85008","4973",6023448469,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1154392231,"030103","Mayo Clinic Arizona","Arizona","Phoenix","5777 E Mayo Blvd","85054","4502",4803422000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1235212721,"030121","Mountain Vista Medical Center LP","Arizona","Mesa","1301 S Crismon Rd","85209","3767",4803586100,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1013060367,"031302","Northern Cochise Community Hospital Inc","Arizona","Willcox","901 W Rex Allen Dr","85643","1009",5203843541,290,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1578515789,"031304","Page Hospital","Arizona","Page","501 North Navajo","86040","",9286450131,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1811086994,"030117","PHC-Fort Mohave Inc","Arizona","Fort Mohave","5330 S Highway 95","86426","9225",9287882273,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1194766543,"030043","Sierra Vista Regional Health Center Inc","Arizona","Sierra Vista","300 El Camino Real","85635","2812",5204173001,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1427009026,"030037","St Lukes Medical Center LP","Arizona","Phoenix","1800 E Van Buren St","85006","3742",6022518642,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1477876639,"030071","The Fort Defiance Indian Hospital Board, Incorporation","Arizona","Fort Defiance","Corner of Route N12 & N7, P.O. Box 649","86504","0649",9287298014,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1174512792,"030006","Tucson Medical Center","Arizona","Tucson","5301 E Grant Rd","85712","2805",5203242535,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1346291648,"030007","VERDE VALLEY MEDICAL CENTER","Arizona","Cottonwood","269 S Candy Ln","86326","4158",9287732006,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1992789200,"030001","VHS ACQUISITION CORPORATION","Arizona","Phoenix","5102 W Campbell Ave","85031","1703",6238485107,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1326022732,"030083","VHS ACQUISITION SUBSIDIARY NUMBER 1 INC","Arizona","Phoenix","3929 E Bell Rd","85032","2112",6029235609,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1326022765,"030094","VHS OF ARROWHEAD INC","Arizona","Glendale","18701 N 67th Ave","85308","7100",6235617102,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1699766592,"031315","White Mountain Communities Hospital","Arizona","Springerville","118 S Mountain Ave","85938","5104",9283334368,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1871534487,"030118","Yavapai Community Hospital Association","Arizona","Prescott","1003 Willow Creek Rd","86301","1641",9287715660,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1902897820,"030012","Yavapai Community Hospital Association","Arizona","Prescott","1003 Willow Creek Rd","86301","1641",9287715660,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1194706655,"030013","Yuma Regional Medical Center","Arizona","Yuma","2400 S Ave A","85364","7127",9283442000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1790775229,"040134","Arkansas Heart Hospital, LLC","Arkansas","Little Rock","1701 S Shackleford Rd","72211","4335",5012197301,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1437222312,"040039","ARKANSAS METHODIST HOSPITAL","Arkansas","Paragould","900 W Kingshighway","72450","5942",8702397000,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1942260609,"040147","Arkansas Surgical Hospital, LLC","Arkansas","North Little Rock","5201 Northshore Drive","72118","5312",5017480016,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1497790042,"040036","BAPTIST HEALTH","Arkansas","Little Rock","9601 I-630 Exit 7","72205","",5012022017,2017,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1043240682,"040114","BAPTIST HEALTH","Arkansas","Little Rock","9601 Interstate 630 Exit 7","72205","7202",5012022017,2017,"FALSE","FALSE","TRUE",,,,,,,,,,,,
1881788933,"040027","BAXTER COUNTY REGIONAL HOSPITAL, INC","Arkansas","Mountain Home","624 Hospital Dr","72653","2955",8705081000,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1306826029,"041317","Board of Governors of Dallas County Medical Center","Arkansas","Fordyce","201 North Clifton Street","71742","",8703526363,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1194741611,"041327","Bradley County Medical Center","Arkansas","WARREN","404 S BRADLEY ST","71671","3459",8702263731,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1235453192,"041328","CHICOT MEMORIAL MEDICAL CENTER","Arkansas","Lake Village","2729 S Highway 65 82","71653","6136",8702655351,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1235169822,"040042","Crittenden Hospital Association","Arkansas","West Memphis","200 W Tyler Ave","72301","4223",8707351500,1045,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1952308215,"041323","Crossett Health Foundation","Arkansas","Crossett","1015 Unity Road","71635","4546",8703644111,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1295767689,"041326","Delta Memorial Hospital","Arkansas","Dumas","811 Hwy 65 N","71639","0887",8703828234,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1972586238,"041314","DeWitt Hospital & Nursing Home, Inc.","Arkansas","De Witt","1641 S Whitehead Dr","72042","2994",8709463571,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1073516019,"040051","DREW MEMORIAL HOSPITAL INC","Arkansas","Monticello","778 SCOGIN DRIVE","71655","7901",8703672411,539,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1528360989,"040047","FIVE RIVERS MEDICAL CENTER INC","Arkansas","Pocahontas","2801 Medical Center Dr","72455","9436",8708926000,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1811912009,"040019","Forrest City Arkansas Hospital Company LLC","Arkansas","Forrest City","1601 Newcastle Rd","72335","",8702610188,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1851484695,"041311","Howard Memorial Hospital","Arkansas","Nashville","130 Medical Circle","71852","",8708454400,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1710931985,"040071","Jefferson Hospital Assn Inc","Arkansas","Pine Bluff","1600 W. 40th Avenue","71603","6301",8705417100,7270,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1902842255,"040011","John Ed Chambers Memorial Hospital, Inc.","Arkansas","Danville","719 Detroit Street","72833","0639",4794952241,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1902842255,"040011","John Ed Chambers Memorial Hospital, Inc.","Arkansas","Danville","719 Detroit Street","72833","0639",4794956310,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1346248317,"040067","Magnolia Regional Medical Center","Arkansas","Magnolia","101 Hospital Dr","71753","2415",8702353000,3215,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1770802217,"041308","MCGEHEE HOSPITAL INCORPORATED","Arkansas","Mc Gehee","900 S 3rd St","71654","2562",8702225600,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1861449639,"040015","Mena Hospital Commission","Arkansas","Mena","311 Morrow St N","71953","2516",4793946100,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1568433480,"040062","Mercy Hospital Fort Smith","Arkansas","Fort Smith","7301 Rogers Ave","72903","4100",4793146100,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1689628232,"040026","Mercy Hospital Hot Springs","Arkansas","Hot Springs","300 Werner St","71913","6406",5016221108,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1316902414,"040010","Mercy Hospital Rogers","Arkansas","Rogers","2710 Rife Medical Ln","72758","1452",4793388000,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1316180748,"040069","Mississippi County Hospital System","Arkansas","Blytheville","1520 N Division St","72315","1448",8708387445,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1598738668,"040080","NATIONAL HEALTHCARE OF NEWPORT INC","Arkansas","Newport","1205 McLain St","72112","3533",8705238911,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1275523912,"040017","North Arkansas Regional Medical Center","Arkansas","Harrison","620 N Main St","72601","2911",8704144000,5157,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1245284769,"040050","OUACHITA COUNTY MEDICAL CENTER","Arkansas","Camden","638 California Ave SW","71701","4604",8708361000,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1992760342,"041313","Ozark Health, Inc","Arkansas","Clinton","2500 Highway 65 S","72031","6588",5017457000,"","TRUE","FALSE","FALSE",,,,,,,,,,,,
1154392090,"040085","Phillips Hospital Corporation","Arkansas","Helena","1801 Martin Luther King Jr Dr","72342","8998",8703385800,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1891781837,"041330","Piggott Community Hospital","Arkansas","Piggott","1206 Gordon Duckworth Dr","72454","1911",8705983881,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1235111071,"040084","Saline County Medical Center","Arkansas","Benton","1 Medical Park Dr","72015","3353",5017766033,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
