PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES
012008,01-SEP-10,31-AUG-11,Settled,SSH - BIRMINGHAM                        ,800 MONTCLAIR ROAD  9TH FL              ,,BIRMINGHAM                              ,AL                                      ,35213                                   ,JEFFERSON                               ,,,,,,,,,,38,13870,6702,,8822,,76.28,,251,,309
012009,01-JUL-10,30-JUN-11,Settled,NOLAND HOSPITAL BIRMINGHAM              ,50 MEDICAL PARK EAST  8TH FLOOR         ,,BIRMINGHAM                              ,AL                                      ,35235                                   ,JEFFERSON                               ,,,,,,,,,,45,16425,5517,,8369,,54.1,,206,,299
013029,01-JUN-10,31-MAY-11,As Submitted,HEALTHSOUTH REHAB OF NORTH ALABAMA      ,107 GOVERNOR S DRIVE                    ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,,,,,,,,,,70,25550,15798,,21820,,194.39,,1158,,1673
013033,01-JUN-10,31-MAY-11,Settled,REGIONAL REHABILITATION HOSPITAL        ,3715 HIGHWAY 280/431 NORTH              ,,PHENIX CITY                             ,AL                                      ,36867                                   ,RUSSELL                                 ,,,,,,,,,,48,16480,9944,,13618,,146.79,,665,,919
014000,01-JUL-10,30-JUN-11,As Submitted,HILL CREST HOSPITAL                     ,6869 FIFTH AVENUE SOUTH                 ,,BIRMINGHAM                              ,AL                                      ,35212                                   ,BIRMINGHAM                              ,,,,,,,,,,94,34310,1491,10004,27220,,219.4,,116,1177,2037
014007,01-JUL-10,30-JUN-11,Settled,BRYCE HOSPITAL                          ,200 UNIVERSITY BOULEVARD                ,,TUSCALOOSA                              ,AL                                      ,35401-                                  ,TUSCALOOSA                              ,,,,,,,,,,139,50735,4074,,50452,,558,,147,,537
014013,01-JUL-10,30-JUN-11,Settled,LAUREL OAKS BEHAVIORAL HEALTH CARE      ,700 EAST COTTONWOOD RD                  ,,DOTHAN                                  ,AL                                      ,363013644                               ,,,,,,,,,,,,,,,,,,,,,
014016,21-SEP-10,30-JUN-11,As Submitted,USA HEALTHCARE PSYCH SVCS LLC           ,1910 CHEROKEE AVENUE SW                 ,,CULLMAN                                 ,AL                                      ,35055                                   ,CULLMAN                                 ,,,,,,,,,,20,5660,2667,,3335,,30,,160,,241
020008,01-JUL-10,30-JUN-11,Amended,BARTLETT REGIONAL HOSPITAL              ,3260 HOSPITAL DRIVE                     ,,JUNEAU                                  ,AK                                      ,99801-                                  ,JUNEAU BOROUGH                          ,,,,499089,,,.12,,,51,18615,2461,1994,7112,,410.17,,553,315,2371
020024,01-JUL-10,30-JUN-11,Settled w/Audit,CENTRAL PENINSULA GENERAL HOSPITAL      ,250 HOSPITAL PLACE                      ,,SOLDOTNA                                ,AK                                      ,99969-                                  ,KENAI PENINSULA BOROUGH                 ,,,,603088,,,.1,,,46,16790,3005,1908,8303,,512.22,,757,448,2258
021303,01-JUL-10,30-JUN-11,Settled,SITKA COMMUNITY HOSPITAL                ,209 MOLLER AVENUE                       ,,SITKA                                   ,AK                                      ,99835-                                  ,SITKA BOROUGH                           ,,,,,,,,,,11,4015,1086,20,1360,,148.55,,116,13,209
021304,01-JUL-10,30-JUN-11,Settled,PETERSBURG MEDICAL CENTER               ,103 FRAM STREET                         ,589                                     ,PETERSBURG                              ,AK                                      ,99833-                                  ,WRANGELL-PETERSBURG                     ,,,,,,,,,,12,4380,493,11,575,,64.67,,62,15,113
021305,01-JUL-10,30-JUN-11,Settled,WRANGELL MEDICAL CENTER                 ,310 BENNETT STREET                      ,1081                                    ,WRANGELL                                ,AK                                      ,99929-                                  ,WRANGELL                                ,,,,,,,,,,8,2920,960,25,1912,,64.24,,81,23,165
021307,01-JUL-10,30-JUN-11,Settled,CORDOVA COMMUNITY MEDICAL CENTER        ,602 CHASE STREET                        ,160                                     ,CORDOVA                                 ,AK                                      ,99574-                                  ,CORDOVA                                 ,,,,,,,,,,13,4745,364,4,584,,49.05,,16,3,37
021311,01-JUL-10,30-JUN-11,As Submitted,KETCHIKAN GENERAL HOSPITAL              ,3100 TONGASS AVENUE                     ,,KETCHIKAN                               ,AK                                      ,99901-5746                              ,GATEWAY BURROUGH                        ,,,,,,,,,,20,7300,1826,851,4533,,264.32,,414,370,1143
021313,01-JUL-10,30-JUN-11,Settled,SOUTH PENINSULA HOSPITAL                ,4300 BARTLETT ST.                       ,,HOMER                                   ,AK                                      ,99603-                                  ,KENAI PENINSULA                         ,,,,,,,,,,21,7665,1649,781,3255,,172.05,,291,202,777
024002,01-JUL-10,30-JUN-11,Settled,ALASKA PSYCHIATRIC INSTITUTE            ,3700 PIPER ST                           ,,ANCHORAGE                               ,AK                                      ,99508-4677                              ,ANCHORAGE                               ,,,,,,,,,,80,29200,3936,1937,25537,,251.37,,245,106,1325
030007,01-JUL-10,30-JUN-11,As Submitted,VERDE VALLEY MEDICAL CENTER             ,269 SOUTH CANDY LANE                    ,,COTTONWOOD                              ,AZ                                      ,86326                                   ,YAVAPAI                                 ,510031,,,1183715,,,.0733,314277,92728,99,36135,8126,3263,17170,4,719.66,,1806,991,4370
030010,01-JUL-10,30-JUN-11,As Submitted,CARONDELET ST. MARY S HOSPITAL          ,1601 W. ST. MARY S ROAD                 ,,TUCSON                                  ,AZ                                      ,85745-                                  ,PIMA                                    ,,,,5337557,,,.1864,,,350,127750,16419,15556,59673,,1311,,3461,3998,13203
030011,01-JUL-10,30-JUN-11,As Submitted,CARONDELET ST. JOSEPH HOSPITAL          ,350 NORTH WILMOT ROAD                   ,,TUCSON                                  ,AZ                                      ,85732-                                  ,PIMA                                    ,,,,3603640,,,.0911,,,428,156220,24671,19144,90883,,1718,,4886,3834,18467
030016,01-JUL-10,30-JUN-11,As Submitted,CASA GRANDE REGIONAL MEDICAL CENTER     ,1800 EAST FLORENCE BLVD.                ,,CASA GRANDE                             ,AZ                                      ,85122                                   ,PINAL                                   ,,,,3500252,,,.1981,,,164,59860,11892,9713,33757,,693.91,,2437,3209,8912
030022,01-JUL-10,30-JUN-11,Amended,MARICOPA MEDICAL CENTER                 ,2601 EAST ROOSEVELT STREET              ,,PHOENIX                                 ,AZ                                      ,85010                                   ,MARICOPA                                ,3148495,,,4967314,,,.5962,2914654,730213,351,112784,4559,33978,64881,183.02,3595.7,,859,,18067
030023,01-JUL-10,30-JUN-11,As Submitted,FLAGSTAFF MEDICAL CENTER                ,1200 NORTH BEAVER                       ,P.O. BOX 1268                           ,FLAGSTAFF                               ,AZ                                      ,86001                                   ,COCONINO                                ,,,,9206845,,,.2273,,,245,89425,18094,18786,56795,,1589.78,,3516,4273,12985
030024,01-JUL-10,30-JUN-11,As Submitted,ST. JOSEPH S HOSPITAL & MEDICAL CTR     ,350 WEST THOMAS ROAD                    ,,PHOENIX                                 ,AZ                                      ,85013                                   ,MARICOPA                                ,9874767,,,18855803,,,.331,2829507,603553,621,226665,25126,79652,171355,186.99,4646.83,,4952,18300,34662
030033,01-AUG-10,31-JUL-11,As Submitted,PAYSON REGIONAL MED CTR                 ,807 S. PONDEROSA                        ,,PAYSON                                  ,AZ                                      ,85541-                                  ,GILA                                    ,,,,1095235,,,.1071,,,39,14235,4446,1798,7888,,246.99,,1282,567,2442
030036,01-JUL-10,30-JUN-11,As Submitted,CHANDLER REGIONAL MEDICAL CENTER        ,475 SOUTH DOBSON ROAD                   ,,CHANDLER                                ,AZ                                      ,85224                                   ,MARICOPA                                ,,,,5219256,,,.146,,,225,82125,18054,20374,78161,,1624.34,,4007,5498,17729
030037,01-JUN-10,31-MAY-11,As Submitted,ST. LUKE S MEDICAL CENTER               ,1800 EAST VAN BUREN                     ,,PHOENIX                                 ,AZ                                      ,85006                                   ,MARICOPA                                ,,,,4721637,,,.3076,,,257,77829,6703,1,34126,,775.5,,1487,3560,8739
030043,01-JUL-10,30-JUN-11,As Submitted,SIERRA VISTA REGIONAL HEALTH CENTER     ,300 EL CAMINO REAL                      ,,SIERRA VISTA                            ,AZ                                      ,85635                                   ,COCHISE                                 ,1330240,,,1095924,,,.12,530020,191610,88,24112,7799,4479,18603,15,625.45,,1926,1386,5656
030055,01-JUL-10,30-JUN-11,As Submitted,KINGMAN REGIONAL MEDICAL CENTER         ,3269 STOCKTON HILL ROAD                 ,,KINGMAN                                 ,AZ                                      ,86401                                   ,MOHAVE                                  ,1559780,,,3617337,,,.1503,549296,199806,167,66379,15396,9105,35471,21.92,1255.87,,3022,2214,7868
030064,01-JUL-10,30-JUN-11,As Submitted,UNIVERSITY MEDICAL CENTER               ,1501 NORTH CAMPBELL AVE                 ,,TUCSON                                  ,AZ                                      ,85721-0001                              ,PIMA                                    ,17721929,,,13579154,,,.3099,4318230,2131375,479,166060,26552,47625,129536,308.14,3809.15,,4779,10686,26294
030069,01-SEP-10,31-AUG-11,As Submitted,HAVASU REGIONAL MEDICAL CENTER          ,101 CIVIC CENTER LANE                   ,,LAKE HAVASU CITY                        ,AZ                                      ,86403-                                  ,MOHAVE                                  ,,,,1478073,,,.0534,,,162,59130,15298,1029,27351,,503.97,,3120,1090,5877
030101,01-SEP-10,31-AUG-11,As Submitted,WESTERN ARIZONA REGIONAL MEDICAL CEN    ,2735 SILVER CREEK ROAD                  ,,BULLHEAD CITY                           ,AZ                                      ,86442-                                  ,MOHAVE                                  ,,,,1889928,,,.0799,,,139,50735,14042,441,27863,,582.27,,2967,1263,6404
030108,01-JUN-10,31-MAY-11,Settled,SURGICAL SPECIALTY HOSPITAL OF ARIZO    ,6501 N. 19TH AVE.                       ,,PHOENIX                                 ,AZ                                      ,85015                                   ,MARICOPA                                ,,,,,,,,,,33,12045,611,41,2437,,107.71,,376,29,1564
030110,01-MAY-10,30-APR-11,As Submitted,WEST VALLEY HOSPITAL                    ,13677 WEST MCDOWELL ROAD                ,,GOODYEAR                                ,AZ                                      ,85395                                   ,MARICOPA                                ,,,,4062499,,,.2464,,,157,57305,7554,1762,35953,,653.51,,1973,681,10646
030111,01-JUL-10,30-JUN-11,As Submitted,THE UNIVERSITY PHYSICIANS HOSPITAL      ,2800 EAST AJO WAY                       ,,TUCSON                                  ,AZ                                      ,85713                                   ,PIMA                                    ,1848616,,,2870617,,,.4587,735845,685727,163,59495,5833,14401,30108,49.71,849.66,,938,1481,5545
030119,01-JUL-10,30-JUN-11,As Submitted,MERCY GILBERT MEDICAL CENTER            ,3555 S. VAL VISTA DRIVE                 ,,GILBERT                                 ,AZ                                      ,85296                                   ,MARICOPA                                ,,,,2750547,,,.104,,,212,77380,13594,12484,57723,,1153.11,,3058,3664,14645
030121,01-JUL-10,30-JUN-11,As Submitted,MOUNTAIN VISTA MEDICAL CENTER           ,1301 SOUTH CRIMSON ROAD                 ,,MESA                                    ,AZ                                      ,85209                                   ,MARICOPA                                ,,,,5086344,,,.1965,,,178,64970,13552,1,45570,,717.69,,2810,3206,10156
031301,01-JUL-10,30-JUN-11,Settled,BENSON HOSPITAL                         ,475 S. OCOTILLO                         ,,BENSON                                  ,AZ                                      ,85602-2990                              ,COCHISE                                 ,,,,,,,,,,22,8030,758,106,1422,,156.73,,152,35,314
031302,01-JUL-10,30-JUN-11,Settled,N. COCHISE COMM. HOSPITAL               ,901 W REX ALLEN DRIVE                   ,DRAWER D                                ,WILLCOX                                 ,AZ                                      ,85644-                                  ,COCHISE                                 ,,,,,,,,,,24,8760,1817,100,2871,,130.79,,209,40,496
031312,01-JUL-10,30-JUN-11,Settled,COPPER QUEEN COMM. HOSP.                ,101 COLE AVE.                           ,,BISBEE                                  ,AZ                                      ,85603-                                  ,COCHISE                                 ,,,,,,,,,,14,5110,1089,250,1829,,122.12,,167,98,410
031313,01-JUL-10,30-JUN-11,Settled,CARONDELET HOLY CROSS HOSPITAL          ,1230 TARGET RANGE ROAD                  ,,NOGALES                                 ,AZ                                      ,85621-                                  ,SANTA CRUZ                              ,,,,,,,,,,25,9125,291,1127,3387,,167,,67,639,1409
032000,01-SEP-10,31-AUG-11,Settled,KINDRED HOSPITAL PHOENIX                ,40 EAST INDIANOLA AVENUE                ,,PHOENIX                                 ,AZ                                      ,85012                                   ,MARICOPA                                ,,,,,,,,,,166,60590,14113,284,26516,,303.6,,553,7,948
032002,01-SEP-10,31-AUG-11,Settled,KINDRED HOSPITAL TUCSON                 ,355 NORTH WILMOT ROAD                   ,,TUCSON                                  ,AZ                                      ,85711                                   ,PIMA                                    ,,,,,,,,,,51,18615,4881,19,10274,,107.8,,185,1,401
032005,01-JUN-10,31-MAY-11,Settled,SSH -ARIZONA  INC                       ,7400 E. OSBORNE RD 3RD FLOOR            ,,SCOTTSDALE                              ,AZ                                      ,85251                                   ,MARICOPA                                ,,,,,,,,,,62,22630,5237,601,14457,,124.83,,196,110,565
032006,01-JUN-10,31-MAY-11,Settled,PROMISE HOSPITAL OF PHOENIX  INC.       ,1201 SOUTH 7TH STREET                   ,,PHOENIX                                 ,AZ                                      ,85007                                   ,PHOENIX                                 ,,,,,,,,,,48,14148,2481,3521,8739,,88.93,,87,57,212
033032,01-JUN-10,31-MAY-11,Settled,HEALTHSOUTH REHAB - VALLEY OF THE SU    ,13460 NORTH 67TH AVENUE                 ,,GLENDALE                                ,AZ                                      ,85304                                   ,MARICOPA                                ,,,,,,,,,,75,27375,10959,1400,19237,,171.41,,845,94,1401
033037,01-JUN-10,31-MAY-11,Settled,HEALTHSOUTH EAST VALLEY REHAB HOSPIT    ,5652 EAST BASELINE ROAD                 ,,MESA                                    ,AZ                                      ,85206                                   ,MARICOPA                                ,,,,,,,,,,60,17280,7915,325,12216,,137.16,,593,19,869
034013,01-JUN-10,31-MAY-11,Settled,ST. LUKES BEHAVIORAL HEALTH             ,1800 EAST VAN BUREN                     ,,PHOENIX                                 ,AZ                                      ,85006                                   ,MARICOPA                                ,,,,,,,,,,124,45260,6876,1,42444,,282.96,,854,2576,5682
034020,01-JUL-10,30-JUN-11,Settled,HAVEN SENIOR HORIZONS                   ,1201 S. 7TH AVENUE  SUITE 200           ,,PHOENIX                                 ,AZ                                      ,85007-3913                              ,MARICOPA                                ,,,,,,,,,,30,10950,6384,180,9929,,46.38,,425,11,719
034021,01-JUL-10,30-JUN-11,Settled,ARIZONA STATE HOSPITAL                  ,2500 E VAN BUREN STREET                 ,,PHOENIX                                 ,AZ                                      ,85008                                   ,MARICOPA                                ,,,,,,,,,,141,51465,431,20180,39087,,240,,10,24,44
034023,01-JUL-10,30-JUN-11,Settled,THE GUIDANCE CENTER  INC.               ,2187 NORTH VICKEY STREET                ,,FLAGSTAFF                               ,AZ                                      ,86004                                   ,COCONINO                                ,,,,,,,,,,16,5840,742,,3088,,31.21,,88,,622
034025,01-JUL-10,30-JUN-11,Settled,WINDHAVEN PSYCHIATRIC HOSPITAL          ,3347 N. WINDSONG DR.                    ,,PRESCOTT VALLEY                         ,AZ                                      ,86314                                   ,YAVAPAI                                 ,,,,,,,,,,16,5840,776,,3831,,28.39,,131,,581
040007,01-JUL-10,30-JUN-11,As Submitted,ST VINCENT INFIRMARY MEDICAL CENTER     ,TWO ST VINCENT CIRCLE                   ,,LITTLE ROCK                             ,AR                                      ,72205                                   ,PULASKI                                 ,516324,,,10293532,,,.1494,161277,32243,385,143917,46020,12498,101463,5.08,1506,,8315,2549,19839
040010,01-JUL-10,30-JUN-11,As Submitted,MERCY MEDICAL CENTER                    ,2710 RIFE MEDICAL LANE                  ,,ROGERS                                  ,AR                                      ,72758                                   ,BENTON                                  ,,,,1051950,,,.0465,,,160,58400,11822,2451,33423,,717.85,,2882,934,9642
040011,01-JUL-10,30-JUN-11,As Submitted,CHAMBERS MEMORIAL HOSPITAL              ,719 DETROIT STREET                      ,,DANVILLE                                ,AR                                      ,72833                                   ,YELL                                    ,,,,511229,,,.0958,,,40,14600,4951,364,6662,,155.61,,1184,164,1913
040016,01-JUL-10,30-JUN-11,Amended,UNIV OF AR FOR MED SCI MED CENTER       ,4301 WEST MARKHAM                       ,,LITTLE ROCK                             ,AR                                      ,72205                                   ,PULASKI                                 ,13930828,,,13968793,,,.2861,5679273,3107424,422,154030,38770,22960,135202,266.2,3188.4,,5937,5108,22996
040026,01-JUL-10,30-JUN-11,As Submitted,ST. JOSEPHS MERCY HEALTH CENTER         ,300 WERNER STREET                       ,,HOT SPRINGS                             ,AR                                      ,71913                                   ,GARLAND                                 ,,,,2589925,,,.0585,,,245,86405,29222,4503,52400,,1149,,5572,1271,11629
040039,01-JUL-10,30-JUN-11,As Submitted,ARKANSAS METHODIST MEDICAL CENTER       ,900 WEST KINGS HIGHWAY                  ,339                                     ,PARAGOULD                               ,AR                                      ,72450-                                  ,GREENE                                  ,,,,1647991,,,.1585,,,114,41610,9935,1997,18104,,586.05,,1896,786,4524
040041,01-SEP-10,31-AUG-11,As Submitted,ST. MARYS REGIONAL MEDICAL CENTER       ,1808 WEST MAIN STREET                   ,,RUSSELLVILLE                            ,AR                                      ,72801                                   ,POPE                                    ,,,,2203873,,,.1825,,,118,43070,8035,2487,17515,,402.43,,2198,1086,5410
040062,01-JUL-10,30-JUN-11,As Submitted,ST. EDWARD MERCY MEDICAL CENTER         ,7301 ROGERS AVENUE                      ,17000                                   ,FORT SMITH                              ,AR                                      ,72917-7000                              ,SEBASTIAN                               ,,,,3691579,,,.107,,,303,110595,28523,4803,67977,,1337,,4692,1510,10477
040071,01-JUL-10,30-JUN-11,As Submitted,JEFFERSON REGIONAL MEDICAL CENTER       ,1600 WEST 40TH AVENUE                   ,,PINE BLUFF                              ,AR                                      ,71603-                                  ,JEFFERSON                               ,1507105,,,4917641,,,.1776,847195,287470,265,96725,21335,6318,46300,24.47,1364.19,,3825,1718,9381
040074,01-JUL-10,30-JUN-11,As Submitted,NORTH METRO MEDICAL CENTER              ,1400 BRADEN STREET                      ,159                                     ,JACKSONVILLE                            ,AR                                      ,72076-                                  ,PULASKI                                 ,,,,217296,,,.0576,,,25,9125,2702,379,4823,,210.77,,675,95,1326
