PROVIDER NPI,PROVIDER CCN,PROVIDER STATE, PROVIDER CITY,PROVIDER  ADDRESS,PROVIDER ZIP 5 CD,PROVIDER ZIP 4 CD,PROVIDER PHONE NUM,PROVIDER PHONE EXT,PROGRAM YEAR 2011,PROGRAM YEAR 2012,geo.provider,geo.updated_at,geo.data.types.0,geo.data.geometry.location.lat,geo.data.geometry.location.lng,geo.data.formatted_address
1932160082,10044,"Alabama",,"1256 Military St S",35570,5003,6623773978,"","",2012,"DSTK",2013-03-03T17:02:01Z,"street_address",34.130997,-87.920614,"Marion Regional Medical Center, Inc , 1256 Military St S, Hamilton, Alabama 35570"
1508934217,10010,"Alabama",,"8000 Al Highway 69",35976,7140,2565708000,"",2011,"","DSTK",2013-03-03T17:02:01Z,"street_address",34.353695,-86.315422,"Marshall Medical Center North, 8000 Al Highway 69, Guntersville, Alabama 35976"
1306914882,10005,"Alabama",,"2505 US HWY 431 N",35957,758,2565938310,"","",2012,"DSTK",2013-03-03T17:02:01Z,"street_address",34.188597,-86.146579,"Marshall Medical Center South, 2505 US HWY 431 N, Boaz, Alabama 35957"
1013937705,10007,"Alabama",,"702 N Main Street, P O Box 1010",36467,1010,3344933541,"","",2012,"DSTK",2013-03-03T17:02:01Z,"locality",31.209061,-86.313007,"Mizell Memorial Hospital, Inc , 702 N Main Street, P O Box 1010, Opp, Alabama 36467"
1558364802,10113,"Alabama",,"3 Mobile Infirmary Cir",36607,3520,2514354700,"","",2012,"DSTK",2013-03-03T17:02:01Z,"street_address",30.696444,-88.078639,"Mobile Infirmary Association, 3 Mobile Infirmary Cir, Mobile, Alabama 36607"
1750480406,10008,"Alabama",,"101 Hospital Cir",36049,7329,3343860353,"",2011,2012,"DSTK",2013-03-03T17:02:01Z,"street_address",32.551231,-86.190186,"Professional Resources Management of Crenshaw LLC, 101 Hospital Cir, Luverne, Alabama 36049"
1750480406,10008,"Alabama",,"101 Hospital Cir",36049,7329,3343860343,714,2011,2012,"DSTK",2013-03-03T17:02:01Z,"street_address",32.551231,-86.190186,"Professional Resources Management of Crenshaw LLC, 101 Hospital Cir, Luverne, Alabama 36049"
1992812382,10110,"Alabama",,"102 Conecuh Ave W",36089,1303,3343860343,714,2011,2012,"DSTK",2013-03-03T17:02:01Z,"street_address",32.146184,-85.72057100000001,"Professional Resources Management, Inc , 102 Conecuh Ave W, Union Springs, Alabama 36089"
1720039712,10049,"Alabama",,"400 N Edwards St",36330,2510,3343470584,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",31.315754,-85.85324199999999,"QHG of Enterprise Inc, 400 N Edwards St, Enterprise, Alabama 36330"
1265483267,10146,"Alabama",,"1701 Pelham Rd S",36265,3353,2564354970,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",33.812883,-85.761269,"QHG of Jacksonville Inc, 1701 Pelham Rd S, Jacksonville, Alabama 36265"
1699096552,10157,"Alabama",,"201 W. Avalon Av.",35661,"",2563861600,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",34.757694,-87.66760600000001,"RCHP Florence, LLC, 201 W  Avalon Av , Muscle Shoals, Alabama 35661"
1477874337,10006,"Alabama",,"205 Marengo St",35630,6033,2567689191,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",34.797909,-87.686994,"RCHP Florence, LLC, 205 Marengo St, Florence, Alabama 35630"
1730134123,10046,"Alabama",,"600 S 3rd St",35901,5304,2565435200,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",34.012315,-86.002031,"Riverview Regional Medical Center LLC, 600 S 3rd St, Gadsden, Alabama 35901"
1023050101,10168,"Alabama",,"4401 River Chase Dr",36867,7483,3347323000,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",32.517082,-85.014927,"Russell County Community Hospital LLC, 4401 River Chase Dr, Phenix City, Alabama 36867"
1811913460,10065,"Alabama",,"3316 Highway 280",35010,3369,2563297109,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",32.959032,-86.00062200000001,"Russell Hospital, 3316 Highway 280, Alexander City, Alabama 35010"
1316015241,10158,"Alabama",,"15155 Highway 43",35653,1975,2563321611,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",34.492982,-87.727842,"Russellville Hospital LLC, 15155 Highway 43, Russellville, Alabama 35653"
1215955729,10069,"Alabama",,"820 W Washington St",36027,1855,3346887000,"","",2012,"DSTK",2013-03-03T17:02:02Z,"street_address",31.888247,-85.146334,"Southeast Alabama Regional Healthcare Authority, 820 W Washington St, Eufaula, Alabama 36027"
1003814971,10144,"Alabama",,"3719 Dauphin St",36608,1753,2513449630,"",2011,2012,"DSTK",2013-03-03T17:02:03Z,"street_address",30.705422,-88.136476,"Springhill Hospitals, Inc, 3719 Dauphin St, Mobile, Alabama 36608"
1447353941,10050,"Alabama",,"150 Gilbreath Dr",35121,2827,2058383343,"","",2012,"DSTK",2013-03-03T17:02:03Z,"street_address",33.933223,-86.494799,"St  Vincent s Blount, 150 Gilbreath Dr, Oneonta, Alabama 35121"
1841308020,10011,"Alabama",,"50 Medical Park East Drive",35235,3401,2058383343,"","",2012,"DSTK",2013-03-03T17:02:03Z,"street_address",33.586756,-86.680964,"St  Vincent s East, 50 Medical Park East Drive, Birmingham, Alabama 35235"
1841298999,10056,"Alabama",,"810 St Vincent's Dr",35205,1601,2058383343,"","",2012,"DSTK",2013-03-03T17:02:03Z,"street_address",33.50811,-86.787272,"St  Vincent s Hospital, 810 St Vincent s Dr, Birmingham, Alabama 35205"
1992809305,10130,"Alabama",,"2805 Dr John Haynes Dr",35125,1448,2058383343,"","",2012,"DSTK",2013-03-03T17:02:03Z,"street_address",33.615823,-86.280407,"St  Vincent s St  Clair, LLC, 2805 Dr John Haynes Dr, Pell City, Alabama 35125"
1972527265,10164,"Alabama",,"315 W Hickory St",35150,2913,2564014000,"",2011,"","DSTK",2013-03-03T17:02:03Z,"street_address",33.16465,-86.251593,"Sylacauga Health Care Authority Inc, 315 W Hickory St, Sylacauga, Alabama 35150"
1255376828,10058,"Alabama",,"208 Pierson Ave",35042,2918,2059264881,"",2011,2012,"DSTK",2013-03-03T17:02:03Z,"street_address",32.951389,-87.14439,"THE BIBB COUNTY HEALTHCARE AUTHORITY, 208 Pierson Ave, Centreville, Alabama 35042"
1154386431,10029,"Alabama",,"2000 Pepperell Pkwy",36801,5452,3345281275,"",2011,2012,"DSTK",2013-03-03T17:02:04Z,"street_address",32.640004,-85.394436,"The East Alabama Healthcare Authority, 2000 Pepperell Pkwy, Opelika, Alabama 36801"
1942391230,10108,"Alabama",,"2105 E South Blvd",36116,2409,3342862987,"","",2012,"DSTK",2013-03-03T17:02:04Z,"street_address",32.327204,-86.272728,"The Health Care Authority for Baptist Health, an affiliate of UABHS, 2105 E South Blvd, Montgomery, Alabama 36116"
1104917780,10149,"Alabama",,"2105 E South Blvd",36116,2409,3342862987,"","",2012,"DSTK",2013-03-03T17:02:04Z,"street_address",32.327204,-86.272728,"The Health Care Authority for Baptist Health, an affiliate of UABHS, 2105 E South Blvd, Montgomery, Alabama 36116"
1306885728,10032,"Alabama",,"209 Main St S",36278,5139,2563572111,"","",2012,"DSTK",2013-03-03T17:02:05Z,"street_address",33.319294,-85.48535699999999,"THE HEALTH CARE AUTHORITY OF THE TOWN OF WEDOWEE, 209 Main St S, Wedowee, Alabama 36278"
1588690085,10112,"Alabama",,"105 US Highway 80 E",36732,3605,3342894000,"","",2012,"DSTK",2013-03-03T17:02:05Z,"street_address",32.472163,-87.89296299999999,"TOMBIGBEE HEALTHCARE AUTHORITY, 105 US Highway 80 E, Demopolis, Alabama 36732"
1770814626,10126,"Alabama",,"1330 Highway 231 S",36081,3058,3346705440,"",2011,"","DSTK",2013-03-03T17:02:05Z,"street_address",31.854135,-85.996786,"Troy Hospital Health Care, 1330 Highway 231 S, Troy, Alabama 36081"
1235214768,10066,"Alabama",,"24273 FIFITH AVE",36442,189,3348583287,"","",2012,"DSTK",2013-03-03T17:02:05Z,"street_address",31.000304,-87.29741799999999,"UNITED FLORALA INC , 24273 FIFITH AVE, Florala, Alabama 36442"
1487699203,11300,"Alabama",,"14600 St Stephens Ave",36518,"",2518472223,281,2011,"","DSTK",2013-03-03T17:02:05Z,"street_address",31.458375,-88.26439000000001,"Washington County Hospital Association, Inc, 14600 St Stephens Ave, Chatom, Alabama 36518"
1952348047,20017,"Alaska",,"2801 Debarr Rd",99508,2932,9072761131,"",2011,2012,"DSTK",2013-03-03T17:02:05Z,"street_address",61.207704,-149.838283,"Galen Hospital Alaska, Inc , 2801 Debarr Rd, Anchorage, Alaska 99508"
1417975061,20006,"Alaska",,"2500 S Woodworth Loop",99645,8984,9078616000,"","",2012,"DSTK",2013-03-03T17:02:05Z,"street_address",61.561272,-149.258893,"Mat Su Valley Medical Center LLC, 2500 S Woodworth Loop, Palmer, Alaska 99645"
1669639639,30126,"Arizona",,"515 N Mesa Drive",85201,5914,4808983333,"","",2012,"DSTK",2013-03-03T17:02:06Z,"street_address",33.415079,-111.822943,"Apache Junction Hospital, LLC, 515 N Mesa Drive, Mesa, Arizona 85201"
1194758284,30088,"Arizona",,"6644 E Baywood Ave",85206,1747,4803212000,"","",2012,"DSTK",2013-03-03T17:02:06Z,"street_address",33.411052,-111.747661,"Banner Baywood Medical Center, 6644 E Baywood Ave, Mesa, Arizona 85206"
1952560914,30061,"Arizona",,"10601 W Santa Fe Dr",85351,3036,6239777211,"","",2012,"DSTK",2013-03-03T17:02:06Z,"street_address",33.598006,-112.267481,"Banner Boswell Medical Center, 10601 W Santa Fe Dr, Sun City, Arizona 85351"
1588823553,30093,"Arizona",,"14502 W Meeker Blvd",85375,5282,6232144000,"","",2012,"DSTK",2013-03-03T17:02:06Z,"street_address",33.670781,-112.343959,"Banner Del E Webb Medical Center, 14502 W Meeker Blvd, Sun City West, Arizona 85375"
1720011810,30065,"Arizona",,"1400 S Dobson Rd",85202,4707,4804123000,"","",2012,"DSTK",2013-03-03T17:02:06Z,"street_address",33.414861,-111.874473,"Banner Desert Medical Center, 1400 S Dobson Rd, Mesa, Arizona 85202"
1275566200,30115,"Arizona",,"9201 W Thomas Rd",85037,3332,6233274000,"","",2012,"DSTK",2013-03-03T17:02:07Z,"street_address",33.479726,-112.252128,"Banner Estrella Medical Center, 9201 W Thomas Rd, Phoenix, Arizona 85037"
1699884858,30122,"Arizona",,"1900 N Higley Rd",85234,1604,4804612745,"","",2012,"DSTK",2013-03-03T17:02:07Z,"street_address",33.36388,-111.721748,"Banner Gateway Medical Center, 1900 N Higley Rd, Gilbert, Arizona 85234"
1841224870,30002,"Arizona",,"1111 E McDowell Rd",85006,2612,6028392000,"","",2012,"DSTK",2013-03-03T17:02:07Z,"street_address",33.465716,-112.062014,"Banner Good Samaritan Medical Center, 1111 E McDowell Rd, Phoenix, Arizona 85006"
1215961248,30105,"Arizona",,"6750 E Baywood Ave",85206,1749,4808545000,"","",2012,"DSTK",2013-03-03T17:02:07Z,"street_address",33.411052,-111.747661,"Banner Heart Hospital, 6750 E Baywood Ave, Mesa, Arizona 85206"
1124341672,30130,"Arizona",,"37000 N Gantzel Rd, Banner Ironwood Medical Center",85140,7303,4803947004,"","",2012,"DSTK",2013-03-03T17:02:07Z,"street_address",33.199919,-111.512749,"Banner Ironwood Medical Center, 37000 N Gantzel Rd, Banner Ironwood Medical Center, San Tan Valley, Arizona 85140"
1154355188,30089,"Arizona",,"5555 W Thunderbird Rd",85306,4622,6028655555,"","",2012,"DSTK",2013-03-03T17:02:07Z,"street_address",33.610727,-112.151174,"Banner Thunderbird Medical Center, 5555 W Thunderbird Rd, Glendale, Arizona 85306"
1518968767,31312,"Arizona",,"101 Cole Ave",85603,1327,5204326450,"",2011,"","DSTK",2013-03-03T17:02:08Z,"street_address",31.41712,-109.883351,"Bisbee Hospital Association, 101 Cole Ave, Bisbee, Arizona 85603"
1467537506,30010,"Arizona",,"1601 W St. Mary's Road",85745,2623,5208723000,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",32.229365,-110.982171,"Carondelet Health Network, 1601 W St  Mary s Road, Tucson, Arizona 85745"
1790860856,30011,"Arizona",,"350 North Wilmot Road",85711,"",5208733000,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",32.223449,-110.857952,"Carondelet Health Network, 350 North Wilmot Road, Tucson, Arizona 85711"
1770563017,30100,"Arizona",,"4888 N Stone Ave",85704,5749,5206962302,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",32.290188,-110.96995,"Carondelet Heart   Vascular Institute, 4888 N Stone Ave, Tucson, Arizona 85704"
1437107208,30016,"Arizona",,"1800 E Florence Blvd",85222,5303,5203816921,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",32.879519,-111.749695,"Casa Grande Community Hospital, 1800 E Florence Blvd, Casa Grande, Arizona 85222"
1487652426,30074,"Arizona",,"HIGHWAY 86 AND TOPAWA ROAD",85634,"",5203837251,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",32.173315,-112.154247,"DHHS PHS IHS TUCSON AREA IHS TUCSON SELLS INDIAN HOSPITAL, HIGHWAY 86 AND TOPAWA ROAD, SELLS, Arizona 85634"
1508800129,30084,"Arizona",,"Off Hwy 191 Hospital Road",86503,"",9286747001,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",35.500049,-109.528398,"DHHS PHS NAIHS CHINLE COMPREHENSIVE HEALTH CARE FACILITY, Off Hwy 191 Hospital Road, Chinle, Arizona 86503"
1932249653,30120,"Arizona",,"5656 S Power Rd",85295,8487,6024603143,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",33.317492,-111.789813,"Gilbert Hospital LLC, 5656 S Power Rd, Gilbert, Arizona 85295"
1780761866,30069,"Arizona",,"101 Civic Center Ln",86403,5607,9288558185,"","",2012,"DSTK",2013-03-03T17:02:08Z,"street_address",34.478853,-114.339476,"Havasu Regional Medical Center LLC, 101 Civic Center Ln, Lake Havasu City, Arizona 86403"
1750454344,31313,"Arizona",,"1171 W Target Range Road",85621,2465,5202853000,3000,"",2012,"DSTK",2013-03-03T17:02:09Z,"street_address",31.341621,-110.95525,"Holy Cross Hospital Inc, 1171 W Target Range Road, Nogales, Arizona 85621"
1629028295,30067,"Arizona",,"1200 W Mohave Rd",85344,6349,9286697400,"","",2012,"DSTK",2013-03-03T17:02:10Z,"street_address",34.138041,-114.278885,"La Paz Regional Hospital,Inc, 1200 W Mohave Rd, Parker, Arizona 85344"
1073576740,30022,"Arizona",,"2601 E Roosevelt St",85008,4973,6023448469,"","",2012,"DSTK",2013-03-03T17:02:10Z,"street_address",33.458574,-112.02967,"Maricopa County Special Health Care District, 2601 E Roosevelt St, Phoenix, Arizona 85008"
1154392231,30103,"Arizona",,"5777 E Mayo Blvd",85054,4502,4803422000,"","",2012,"DSTK",2013-03-03T17:02:10Z,"street_address",33.655262,-111.929683,"Mayo Clinic Arizona, 5777 E Mayo Blvd, Phoenix, Arizona 85054"
1235212721,30121,"Arizona",,"1301 S Crismon Rd",85209,3767,4803586100,"","",2012,"DSTK",2013-03-03T17:02:10Z,"street_address",33.392735,-111.615401,"Mountain Vista Medical Center LP, 1301 S Crismon Rd, Mesa, Arizona 85209"
1578515789,31304,"Arizona",,"501 North Navajo",86040,"",9286450131,"","",2012,"DSTK",2013-03-03T17:02:10Z,"street_address",36.91681,-111.464477,"Page Hospital, 501 North Navajo, Page, Arizona 86040"
1811086994,30117,"Arizona",,"5330 S Highway 95",86426,9225,9287882273,"","",2012,"DSTK",2013-03-03T17:02:10Z,"street_address",35.039054,-114.594204,"PHC Fort Mohave Inc, 5330 S Highway 95, Fort Mohave, Arizona 86426"
1194766543,30043,"Arizona",,"300 El Camino Real",85635,2812,5204173001,"","",2012,"DSTK",2013-03-03T17:02:10Z,"street_address",31.552215,-110.272369,"Sierra Vista Regional Health Center Inc, 300 El Camino Real, Sierra Vista, Arizona 85635"
1427009026,30037,"Arizona",,"1800 E Van Buren St",85006,3742,6022518642,"","",2012,"DSTK",2013-03-03T17:02:11Z,"street_address",33.451306,-112.011715,"St Lukes Medical Center LP, 1800 E Van Buren St, Phoenix, Arizona 85006"
1174512792,30006,"Arizona",,"5301 E Grant Rd",85712,2805,5203242535,"","",2012,"DSTK",2013-03-03T17:02:11Z,"street_address",32.250613,-110.909721,"Tucson Medical Center, 5301 E Grant Rd, Tucson, Arizona 85712"
1871534487,30118,"Arizona",,"1003 Willow Creek Rd",86301,1641,9287715660,"","",2012,"DSTK",2013-03-03T17:02:11Z,"street_address",34.556863,-112.482049,"Yavapai Community Hospital Association, 1003 Willow Creek Rd, Prescott, Arizona 86301"
1902897820,30012,"Arizona",,"1003 Willow Creek Rd",86301,1641,9287715660,"","",2012,"DSTK",2013-03-03T17:02:11Z,"street_address",34.556863,-112.482049,"Yavapai Community Hospital Association, 1003 Willow Creek Rd, Prescott, Arizona 86301"
1194706655,30013,"Arizona",,"2400 S Ave A",85364,7127,9283442000,"","",2012,"DSTK",2013-03-03T17:02:11Z,"street_address",32.724686,-114.633208,"Yuma Regional Medical Center, 2400 S Ave A, Yuma, Arizona 85364"
1790775229,40134,"Arkansas",,"1701 S Shackleford Rd",72211,4335,5012197301,"","",2012,"DSTK",2013-03-03T17:02:11Z,"street_address",34.762221,-92.39851299999999,"Arkansas Heart Hospital, LLC, 1701 S Shackleford Rd, Little Rock, Arkansas 72211"
1437222312,40039,"Arkansas",,"900 W Kingshighway",72450,5942,8702397000,"",2011,2012,"DSTK",2013-03-03T17:02:11Z,"street_address",36.052548,-90.487504,"ARKANSAS METHODIST HOSPITAL, 900 W Kingshighway, Paragould, Arkansas 72450"
1942260609,40147,"Arkansas",,"5201 Northshore Drive",72118,5312,5017480016,"",2011,2012,"DSTK",2013-03-03T17:02:11Z,"street_address",34.883313,-92.37464799999999,"Arkansas Surgical Hospital, LLC, 5201 Northshore Drive, North Little Rock, Arkansas 72118"
1497790042,40036,"Arkansas",,"9601 I-630 Exit 7",72205,"",5012022017,2017,"",2012,"DSTK",2013-03-03T17:02:12Z,"street_address",34.74234,-92.272694,"BAPTIST HEALTH, 9601 I 630 Exit 7, Little Rock, Arkansas 72205"
1235169822,40042,"Arkansas",,"200 W Tyler Ave",72301,4223,8707351500,1045,2011,2012,"DSTK",2013-03-03T17:02:12Z,"street_address",35.144033,-90.190837,"Crittenden Hospital Association, 200 W Tyler Ave, West Memphis, Arkansas 72301"
1952308215,41323,"Arkansas",,"1015 Unity Road",71635,4546,8703644111,"",2011,"","DSTK",2013-03-03T17:02:12Z,"street_address",33.13615,-91.951048,"Crossett Health Foundation, 1015 Unity Road, Crossett, Arkansas 71635"
1073516019,40051,"Arkansas",,"778 SCOGIN DRIVE",71655,7901,8703672411,539,2011,"","DSTK",2013-03-03T17:02:12Z,"street_address",33.593129,-91.811809,"Drew County Memorial Hospital, 778 SCOGIN DRIVE, Monticello, Arkansas 71655"
1811912009,40019,"Arkansas",,"1601 Newcastle Rd",72335,"",8702610188,"","",2012,"DSTK",2013-03-03T17:02:12Z,"street_address",35.05301,-90.764309,"Forrest City Arkansas Hospital Company LLC, 1601 Newcastle Rd, Forrest City, Arkansas 72335"
1710931985,40071,"Arkansas",,"1600 W. 40th Avenue",71603,6301,8705417100,7270,2011,2012,"DSTK",2013-03-03T17:02:12Z,"street_address",34.189308,-92.013306,"Jefferson Hospital Assn Inc, 1600 W  40th Avenue, Pine Bluff, Arkansas 71603"
1902842255,40011,"Arkansas",,"719 Detroit Street",72833,639,4794952241,"",2011,2012,"DSTK",2013-03-03T17:02:12Z,"street_address",35.102312,-93.36854599999999,"John Ed Chambers Memorial Hospital, Inc , 719 Detroit Street, Danville, Arkansas 72833"
1902842255,40011,"Arkansas",,"719 Detroit Street",72833,639,4794956310,"",2011,2012,"DSTK",2013-03-03T17:02:13Z,"street_address",35.102312,-93.36854599999999,"John Ed Chambers Memorial Hospital, Inc , 719 Detroit Street, Danville, Arkansas 72833"
1346248317,40067,"Arkansas",,"101 Hospital Dr",71753,2415,8702353000,3215,2011,2012,"DSTK",2013-03-03T17:02:13Z,"street_address",33.275056,-93.23950000000001,"Magnolia Regional Medical Center, 101 Hospital Dr, Magnolia, Arkansas 71753"
1770802217,41308,"Arkansas",,"900 S 3rd St",71654,2562,8702225600,"","",2012,"DSTK",2013-03-03T17:02:13Z,"street_address",33.62648,-91.397289,"MCGEHEE HOSPITAL INCORPORATED, 900 S 3rd St, Mc Gehee, Arkansas 71654"
1861449639,40015,"Arkansas",,"311 Morrow St N",71953,2516,4793946100,"",2011,2012,"DSTK",2013-03-03T17:02:13Z,"street_address",34.586588,-94.22254100000001,"Mena Hospital Commission, 311 Morrow St N, Mena, Arkansas 71953"
1568433480,40062,"Arkansas",,"7301 Rogers Ave",72903,4100,4793146100,"",2011,2012,"DSTK",2013-03-03T17:02:13Z,"street_address",35.374333,-94.39810799999999,"Mercy Hospital Fort Smith, 7301 Rogers Ave, Fort Smith, Arkansas 72903"
1689628232,40026,"Arkansas",,"300 Werner St",71913,6406,5016221108,"",2011,2012,"DSTK",2013-03-03T17:02:13Z,"street_address",34.491005,-93.069423,"Mercy Hospital Hot Springs, 300 Werner St, Hot Springs, Arkansas 71913"
